image_id,review_status,notes,preflight_status,preflight_error,preflight_content_type,metadata_score,relevance_score,license_status,source_page,image_url
IMG-SL-01-003-wikimedia-2645045f,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto02cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto02cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-2cb85df9,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto03cean).pdf,https://upload.wikimedia.org/wikipedia/commons/c/c2/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto03cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-2fb217ca,,,retryable,http_error:429,,0.6714,0.2857,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto03cean).pdf,https://upload.wikimedia.org/wikipedia/commons/c/c2/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto03cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-3b403993,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto01cean).pdf,https://upload.wikimedia.org/wikipedia/commons/0/0b/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto01cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-46a2cd2c,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto01cean).pdf,https://upload.wikimedia.org/wikipedia/commons/0/0b/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto01cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-47754a73,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto03cean).pdf,https://upload.wikimedia.org/wikipedia/commons/c/c2/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto03cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-49b4aa4a,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto05cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto05cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-a7da20af,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto02cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto02cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-b0c5b8c5,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto01cean).pdf,https://upload.wikimedia.org/wikipedia/commons/0/0b/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto01cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-b4be70d8,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto02cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto02cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-b7d5c67c,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto05cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto05cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-bca8a3de,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto06cean).pdf,https://upload.wikimedia.org/wikipedia/commons/f/f3/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto06cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-bd64e81a,,,retryable,http_error:429,,0.6714,0.2857,clear,https://commons.wikimedia.org/wiki/File:Cat%C3%A1logo_hist%C3%B3rico-descriptivo_de_la_Real_Armer%C3%ADa_de_Madrid_(IA_catlogohistricod00real).pdf,https://upload.wikimedia.org/wikipedia/commons/6/69/Cat%C3%A1logo_hist%C3%B3rico-descriptivo_de_la_Real_Armer%C3%ADa_de_Madrid_%28IA_catlogohistricod00real%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-c3bbe5d7,,,retryable,http_error:429,,0.6714,0.2857,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto05cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto05cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-d7ced40e,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto05cean).pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto05cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-e14918bc,,,retryable,http_error:429,,0.6833,0.3333,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto06cean).pdf,https://upload.wikimedia.org/wikipedia/commons/f/f3/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto06cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-e9aca867,,,retryable,http_error:429,,0.6714,0.2857,clear,https://commons.wikimedia.org/wiki/File:El_molinero_de_Subiza_-_zarzuela_hist%C3%B3rico-romancesca_en_tres_actos_y_en_verso_(IA_elmolinerodesubi158112oud).pdf,https://upload.wikimedia.org/wikipedia/commons/4/4b/El_molinero_de_Subiza_-_zarzuela_hist%C3%B3rico-romancesca_en_tres_actos_y_en_verso_%28IA_elmolinerodesubi158112oud%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-003-wikimedia-ef0cd85d,approved,,retryable,http_error:429,,0.6714,0.2857,clear,https://commons.wikimedia.org/wiki/File:Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_(IA_diccionariohisto06cean).pdf,https://upload.wikimedia.org/wikipedia/commons/f/f3/Diccionario_historico_de_los_mas_ilustres_profesores_de_las_bellas_artes_en_Espana_%28IA_diccionariohisto06cean%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-004-wikimedia-2e5606a5,approved,,retryable,http_error:429,,0.7917,0.1667,attribution_required,https://commons.wikimedia.org/wiki/File:PLAN_DE_DESARROLLO_MUNICIPAL_2012.pdf,https://upload.wikimedia.org/wikipedia/commons/b/bb/PLAN_DE_DESARROLLO_MUNICIPAL_2012.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-004-wikimedia-5632ed64,approved,,retryable,http_error:429,,0.7917,0.1667,clear,https://commons.wikimedia.org/wiki/File:Anales_de_la_Sociedad_Cient%C3%ADfica_Argentina_(IA_analesdelasocied2622soci).pdf,https://upload.wikimedia.org/wikipedia/commons/e/e9/Anales_de_la_Sociedad_Cient%C3%ADfica_Argentina_%28IA_analesdelasocied2622soci%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
IMG-SL-01-004-wikimedia-e8e63ca5,approved,,None,None,None,0.7917,0.1667,clear,"https://commons.wikimedia.org/wiki/File:Gij%C3%B3n,_verano_del_a%C3%B1o_1904_-_grandes_fiestas_desde_el_15_de_julio_al_15_septiembre_(IA_gijonveranodelan00unse).pdf",https://upload.wikimedia.org/wikipedia/commons/0/0c/Gij%C3%B3n%2C_verano_del_a%C3%B1o_1904_-_grandes_fiestas_desde_el_15_de_julio_al_15_septiembre_%28IA_gijonveranodelan00unse%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
